order_id,date,store,product,quantity,sales
61,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,3
62,01/01/2023,Hell's Kitchen,Barista Espresso,2,8.5
63,01/01/2023,Lower Manhattan,Barista Espresso,1,4.25
64,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
65,01/01/2023,Lower Manhattan,Scone,1,3.75
66,01/01/2023,Lower Manhattan,Brewed Chai tea,2,5
67,01/01/2023,Lower Manhattan,Drip coffee,1,3
68,01/01/2023,Lower Manhattan,Barista Espresso,2,6
69,01/01/2023,Hell's Kitchen,Barista Espresso,2,7.5
70,01/01/2023,Lower Manhattan,Barista Espresso,2,6
71,01/01/2023,Lower Manhattan,Biscotti,1,3.25
72,01/01/2023,Lower Manhattan,Brewed Black tea,1,2.5
73,01/01/2023,Hell's Kitchen,Brewed Green tea,1,3
74,01/01/2023,Hell's Kitchen,Barista Espresso,2,7.5
75,01/01/2023,Hell's Kitchen,Scone,1,3.25
76,01/01/2023,Hell's Kitchen,Premium brewed coffee,1,3.1
77,01/01/2023,Lower Manhattan,Drip coffee,1,2.5
78,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
79,01/01/2023,Hell's Kitchen,Drip coffee,1,2
80,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,6
81,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,7.5
82,01/01/2023,Lower Manhattan,Organic brewed coffee,1,3
83,01/01/2023,Lower Manhattan,Pastry,1,3.75
84,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,6
85,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,2.5
86,01/01/2023,Hell's Kitchen,Barista Espresso,2,8.5
87,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
88,01/01/2023,Lower Manhattan,Drip coffee,2,5
89,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,2.5
90,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,5.1
91,01/01/2023,Lower Manhattan,Hot chocolate,2,7
92,01/01/2023,Lower Manhattan,Biscotti,1,3.5
93,01/01/2023,Hell's Kitchen,Brewed Green tea,2,6
94,01/01/2023,Lower Manhattan,Premium brewed coffee,1,3.1
95,01/01/2023,Lower Manhattan,Scone,1,3.25
96,01/01/2023,Hell's Kitchen,Hot chocolate,1,3.75
97,01/01/2023,Lower Manhattan,Hot chocolate,1,4.5
98,01/01/2023,Lower Manhattan,Premium brewed coffee,2,7.5
99,01/01/2023,Hell's Kitchen,Brewed Black tea,2,6
100,01/01/2023,Lower Manhattan,Hot chocolate,2,9.5
101,01/01/2023,Lower Manhattan,Brewed Green tea,1,3
102,01/01/2023,Hell's Kitchen,Drip coffee,2,5
103,01/01/2023,Hell's Kitchen,Pastry,1,3.75
104,01/01/2023,Lower Manhattan,Barista Espresso,1,3.75
105,01/01/2023,Lower Manhattan,Biscotti,1,3.5
106,01/01/2023,Astoria,Drip coffee,1,2
107,01/01/2023,Astoria,Barista Espresso,1,3.75
108,01/01/2023,Astoria,Pastry,1,3.5
109,01/01/2023,Lower Manhattan,Brewed Green tea,2,6
110,01/01/2023,Lower Manhattan,Pastry,1,3.5
111,01/01/2023,Hell's Kitchen,Barista Espresso,2,8.5
112,01/01/2023,Astoria,Hot chocolate,1,4.5
113,01/01/2023,Hell's Kitchen,Brewed Black tea,2,6
114,01/01/2023,Astoria,Hot chocolate,1,4.5
115,01/01/2023,Astoria,Brewed Green tea,1,3
116,01/01/2023,Astoria,Scone,1,3.75
117,01/01/2023,Astoria,Brewed Green tea,1,2.5
118,01/01/2023,Astoria,Brewed herbal tea,1,3
119,01/01/2023,Astoria,Brewed herbal tea,2,6
120,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,5
121,01/01/2023,Lower Manhattan,Brewed Black tea,2,6
122,01/01/2023,Astoria,Hot chocolate,1,3.75
123,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,1,2.2
124,01/01/2023,Lower Manhattan,Hot chocolate,2,7.5
125,01/01/2023,Lower Manhattan,Scone,1,3
126,01/01/2023,Astoria,Brewed Black tea,2,6
127,01/01/2023,Lower Manhattan,Barista Espresso,2,7.5
128,01/01/2023,Hell's Kitchen,Brewed herbal tea,2,5
129,01/01/2023,Astoria,Gourmet brewed coffee,2,7
130,01/01/2023,Lower Manhattan,Brewed Chai tea,2,5.1
131,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,6.2
132,01/01/2023,Hell's Kitchen,Scone,1,4.5
133,01/01/2023,Hell's Kitchen,Drip coffee,1,2.5
134,01/01/2023,Hell's Kitchen,Drip coffee,1,3
135,01/01/2023,Lower Manhattan,Brewed Black tea,2,6
136,01/01/2023,Lower Manhattan,Scone,1,3.25
137,01/01/2023,Lower Manhattan,Brewed Chai tea,2,5
138,01/01/2023,Lower Manhattan,Pastry,1,3.5
139,01/01/2023,Lower Manhattan,Hot chocolate,1,3.75
140,01/01/2023,Lower Manhattan,Pastry,1,3.75
141,01/01/2023,Astoria,Brewed Chai tea,2,5
142,01/01/2023,Astoria,Organic brewed coffee,2,4.4
143,01/01/2023,Lower Manhattan,Barista Espresso,1,3.75
144,01/01/2023,Astoria,Gourmet brewed coffee,1,3
145,01/01/2023,Hell's Kitchen,Brewed Black tea,2,5
146,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,2.5
147,01/01/2023,Hell's Kitchen,Scone,1,3.25
148,01/01/2023,Astoria,Organic brewed coffee,2,6
149,01/01/2023,Astoria,Premium brewed coffee,2,7.5
150,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
151,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,7
152,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3.1
153,01/01/2023,Astoria,Barista Espresso,2,6
154,01/01/2023,Astoria,Brewed Black tea,1,2.5
155,01/01/2023,Astoria,Scone,1,3.75
156,01/01/2023,Astoria,Hot chocolate,2,7.5
157,01/01/2023,Lower Manhattan,Gourmet brewed coffee,1,2.5
158,01/01/2023,Astoria,Brewed Black tea,2,6
159,01/01/2023,Astoria,Premium brewed coffee,2,6.2
160,01/01/2023,Astoria,Pastry,1,3.5
161,01/01/2023,Hell's Kitchen,Premium brewed coffee,1,3.75
162,01/01/2023,Hell's Kitchen,Brewed Green tea,1,3
163,01/01/2023,Astoria,Brewed herbal tea,1,2.5
164,01/01/2023,Hell's Kitchen,Organic brewed coffee,2,7
165,01/01/2023,Astoria,Brewed Chai tea,2,5
166,01/01/2023,Lower Manhattan,Brewed Green tea,1,2.5
167,01/01/2023,Hell's Kitchen,Drip coffee,1,3
168,01/01/2023,Lower Manhattan,Brewed herbal tea,1,3
169,01/01/2023,Hell's Kitchen,Premium brewed coffee,1,3.1
170,01/01/2023,Astoria,Gourmet brewed coffee,2,4
171,01/01/2023,Hell's Kitchen,Brewed Black tea,2,5
172,01/01/2023,Lower Manhattan,Barista Espresso,2,7.5
173,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,6.2
174,01/01/2023,Hell's Kitchen,Brewed Black tea,2,5
175,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
176,01/01/2023,Astoria,Brewed Black tea,2,6
177,01/01/2023,Astoria,Hot chocolate,2,7.5
178,01/01/2023,Astoria,Drip coffee,1,3
179,01/01/2023,Lower Manhattan,Barista Espresso,2,8.5
180,01/01/2023,Astoria,Brewed herbal tea,2,5
181,01/01/2023,Hell's Kitchen,Barista Espresso,1,3.75
182,01/01/2023,Astoria,Brewed Chai tea,2,5
183,01/01/2023,Astoria,Gourmet brewed coffee,2,5
184,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,4.4
185,01/01/2023,Hell's Kitchen,Hot chocolate,1,3.75
186,01/01/2023,Hell's Kitchen,Brewed Black tea,2,6
187,01/01/2023,Astoria,Brewed Chai tea,1,3
188,01/01/2023,Hell's Kitchen,Hot chocolate,1,3.75
189,01/01/2023,Astoria,Brewed Chai tea,1,3
190,01/01/2023,Astoria,Brewed Chai tea,1,2.5
191,01/01/2023,Astoria,Gourmet brewed coffee,2,4
192,01/01/2023,Astoria,Brewed Chai tea,1,2.55
193,01/01/2023,Astoria,Drip coffee,1,2.5
194,01/01/2023,Astoria,Gourmet brewed coffee,1,3.5
195,01/01/2023,Astoria,Pastry,1,3.5
196,01/01/2023,Astoria,Barista Espresso,2,7.5
197,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,1,3
198,01/01/2023,Astoria,Hot chocolate,1,4.5
199,01/01/2023,Astoria,Gourmet brewed coffee,2,6
200,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,3
201,01/01/2023,Lower Manhattan,Hot chocolate,1,4.75
202,01/01/2023,Lower Manhattan,Scone,1,3.25
203,01/01/2023,Lower Manhattan,Brewed Chai tea,1,2.55
204,01/01/2023,Lower Manhattan,Pastry,1,3.5
205,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,5
206,01/01/2023,Hell's Kitchen,Barista Espresso,1,3
207,01/01/2023,Astoria,Brewed Black tea,1,3
208,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3.1
209,01/01/2023,Lower Manhattan,Pastry,1,3.5
210,01/01/2023,Hell's Kitchen,Brewed herbal tea,1,3
211,01/01/2023,Hell's Kitchen,Organic brewed coffee,2,6
212,01/01/2023,Astoria,Hot chocolate,1,4.75
213,01/01/2023,Astoria,Brewed Green tea,1,3
214,01/01/2023,Astoria,Brewed herbal tea,2,5
215,01/01/2023,Hell's Kitchen,Premium brewed coffee,1,3.75
216,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,6
217,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
218,01/01/2023,Hell's Kitchen,Brewed Black tea,1,3
219,01/01/2023,Hell's Kitchen,Scone,1,4.5
220,01/01/2023,Hell's Kitchen,Organic brewed coffee,1,3
221,01/01/2023,Astoria,Brewed herbal tea,2,6
222,01/01/2023,Hell's Kitchen,Organic brewed coffee,2,4.4
223,01/01/2023,Hell's Kitchen,Scone,1,3.25
224,01/01/2023,Hell's Kitchen,Brewed herbal tea,2,5
225,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,5
226,01/01/2023,Astoria,Drip coffee,1,2
227,01/01/2023,Astoria,Hot chocolate,1,3.5
228,01/01/2023,Lower Manhattan,Drip coffee,2,6
229,01/01/2023,Astoria,Premium brewed coffee,1,3.1
230,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,6
231,01/01/2023,Lower Manhattan,Hot chocolate,1,3.75
232,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,2.55
233,01/01/2023,Astoria,Brewed Chai tea,2,8
234,01/01/2023,Hell's Kitchen,Brewed Black tea,2,6
235,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,4
236,01/01/2023,Hell's Kitchen,Pastry,1,3.5
237,01/01/2023,Astoria,Drip coffee,1,2.5
238,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,4.4
239,01/01/2023,Astoria,Premium brewed coffee,2,6.2
240,01/01/2023,Astoria,Barista Espresso,2,7.5
241,01/01/2023,Lower Manhattan,Drip coffee,1,2.5
242,01/01/2023,Astoria,Brewed Green tea,2,5
243,01/01/2023,Astoria,Hot chocolate,2,7
244,01/01/2023,Lower Manhattan,Hot chocolate,2,7.5
245,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,4.4
246,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
247,01/01/2023,Lower Manhattan,Barista Espresso,1,3
248,01/01/2023,Astoria,Gourmet brewed coffee,2,4
249,01/01/2023,Hell's Kitchen,Organic brewed coffee,1,3.5
250,01/01/2023,Hell's Kitchen,Barista Espresso,2,7.5
251,01/01/2023,Lower Manhattan,Brewed Black tea,1,3
252,01/01/2023,Astoria,Brewed Chai tea,2,5
253,01/01/2023,Astoria,Brewed herbal tea,2,5
254,01/01/2023,Astoria,Brewed herbal tea,1,3
255,01/01/2023,Lower Manhattan,Premium brewed coffee,1,3.75
256,01/01/2023,Lower Manhattan,Brewed Chai tea,1,2.5
257,01/01/2023,Lower Manhattan,Scone,1,3.25
258,01/01/2023,Astoria,Brewed Chai tea,2,5
259,01/01/2023,Astoria,Biscotti,1,3.25
260,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
261,01/01/2023,Astoria,Brewed Chai tea,1,3.1
262,01/01/2023,Hell's Kitchen,Barista Espresso,1,3.75
263,01/01/2023,Hell's Kitchen,Drip coffee,2,4
264,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3
265,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,5
266,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,6
267,01/01/2023,Astoria,Barista Espresso,2,7.5
268,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,1,3.5
269,01/01/2023,Hell's Kitchen,Drip coffee,2,4
270,01/01/2023,Lower Manhattan,Brewed herbal tea,1,2.5
271,01/01/2023,Hell's Kitchen,Brewed herbal tea,2,6
272,01/01/2023,Hell's Kitchen,Brewed Black tea,2,5
273,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,3
274,01/01/2023,Lower Manhattan,Organic brewed coffee,2,7
275,01/01/2023,Lower Manhattan,Pastry,1,3.75
276,01/01/2023,Astoria,Brewed Green tea,2,5
277,01/01/2023,Lower Manhattan,Premium brewed coffee,1,2.45
278,01/01/2023,Lower Manhattan,Barista Espresso,2,8.5
279,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
280,01/01/2023,Lower Manhattan,Biscotti,1,3.25
281,01/01/2023,Astoria,Gourmet brewed coffee,1,3
282,01/01/2023,Astoria,Barista Espresso,2,8.5
283,01/01/2023,Astoria,Drip coffee,1,2.5
284,01/01/2023,Hell's Kitchen,Drip coffee,1,3
285,01/01/2023,Hell's Kitchen,Pastry,1,3.75
286,01/01/2023,Hell's Kitchen,Hot chocolate,2,7.5
287,01/01/2023,Lower Manhattan,Brewed Chai tea,2,6.2
288,01/01/2023,Lower Manhattan,Drip coffee,2,5
289,01/01/2023,Astoria,Premium brewed coffee,2,6.2
290,01/01/2023,Astoria,Brewed herbal tea,2,5
291,01/01/2023,Hell's Kitchen,Brewed Black tea,2,6
292,01/01/2023,Lower Manhattan,Barista Espresso,2,8.5
293,01/01/2023,Hell's Kitchen,Brewed Chai tea,1,4
294,01/01/2023,Hell's Kitchen,Pastry,1,3.75
295,01/01/2023,Astoria,Barista Espresso,2,8.5
296,01/01/2023,Astoria,Scone,1,3.75
297,01/01/2023,Astoria,Hot chocolate,2,7
298,01/01/2023,Lower Manhattan,Drip coffee,2,6
299,01/01/2023,Hell's Kitchen,Hot chocolate,1,4.75
300,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
301,01/01/2023,Lower Manhattan,Brewed Black tea,2,6
302,01/01/2023,Lower Manhattan,Scone,1,4.5
303,01/01/2023,Hell's Kitchen,Brewed Black tea,1,2.5
304,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3.1
305,01/01/2023,Lower Manhattan,Brewed herbal tea,1,2.5
306,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,6
307,01/01/2023,Lower Manhattan,Barista Espresso,2,8.5
308,01/01/2023,Hell's Kitchen,Barista Espresso,2,8.5
309,01/01/2023,Astoria,Brewed Chai tea,1,4
310,01/01/2023,Astoria,Gourmet brewed coffee,2,6
311,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3.1
312,01/01/2023,Lower Manhattan,Brewed herbal tea,1,2.5
313,01/01/2023,Lower Manhattan,Barista Espresso,1,3
314,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,4.9
315,01/01/2023,Lower Manhattan,Hot chocolate,2,9.5
316,01/01/2023,Astoria,Brewed Black tea,2,5
317,01/01/2023,Astoria,Brewed Green tea,1,3
318,01/01/2023,Hell's Kitchen,Brewed Black tea,1,2.5
319,01/01/2023,Hell's Kitchen,Drip coffee,1,3
320,01/01/2023,Hell's Kitchen,Pastry,1,3.5
321,01/01/2023,Hell's Kitchen,Brewed Black tea,2,6
322,01/01/2023,Lower Manhattan,Brewed herbal tea,2,6
323,01/01/2023,Astoria,Premium brewed coffee,2,4.9
324,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,6
325,01/01/2023,Astoria,Brewed herbal tea,1,3
326,01/01/2023,Astoria,Barista Espresso,2,8.5
327,01/01/2023,Hell's Kitchen,Barista Espresso,1,3.75
328,01/01/2023,Lower Manhattan,Organic brewed coffee,2,4.4
329,01/01/2023,Astoria,Brewed herbal tea,2,6
330,01/01/2023,Astoria,Drip coffee,1,2
331,01/01/2023,Hell's Kitchen,Hot chocolate,1,4.75
332,01/01/2023,Lower Manhattan,Barista Espresso,1,3.75
333,01/01/2023,Lower Manhattan,Pastry,1,3.5
334,01/01/2023,Astoria,Drip coffee,1,3
335,01/01/2023,Astoria,Brewed Chai tea,2,5
336,01/01/2023,Astoria,Organic brewed coffee,2,6
337,01/01/2023,Lower Manhattan,Barista Espresso,2,7.5
338,01/01/2023,Astoria,Hot chocolate,1,4.75
339,01/01/2023,Astoria,Gourmet brewed coffee,1,2.5
340,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,6
341,01/01/2023,Astoria,Barista Espresso,2,8.5
342,01/01/2023,Hell's Kitchen,Organic brewed coffee,1,3
343,01/01/2023,Lower Manhattan,Brewed Black tea,2,5
344,01/01/2023,Astoria,Hot chocolate,2,7
345,01/01/2023,Astoria,Hot chocolate,1,3.5
346,01/01/2023,Lower Manhattan,Brewed herbal tea,1,3
347,01/01/2023,Astoria,Brewed Chai tea,1,3.1
348,01/01/2023,Astoria,Scone,1,3.25
349,01/01/2023,Astoria,Brewed herbal tea,1,3
350,01/01/2023,Astoria,Gourmet brewed coffee,2,4.4
351,01/01/2023,Lower Manhattan,Premium brewed coffee,1,2.45
352,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,5
353,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,4
354,01/01/2023,Lower Manhattan,Biscotti,1,3.5
355,01/01/2023,Astoria,Barista Espresso,2,8.5
356,01/01/2023,Astoria,Biscotti,1,3.5
357,01/01/2023,Lower Manhattan,Barista Espresso,2,6
358,01/01/2023,Hell's Kitchen,Brewed herbal tea,1,2.5
359,01/01/2023,Astoria,Premium brewed coffee,1,3.75
360,01/01/2023,Astoria,Brewed Green tea,2,5
361,01/01/2023,Lower Manhattan,Barista Espresso,2,7.5
362,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,6.2
363,01/01/2023,Lower Manhattan,Barista Espresso,2,8.5
364,01/01/2023,Lower Manhattan,Biscotti,1,3.25
365,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,7
366,01/01/2023,Hell's Kitchen,Drip coffee,1,3
367,01/01/2023,Astoria,Gourmet brewed coffee,2,4.4
368,01/01/2023,Hell's Kitchen,Brewed Black tea,1,2.5
369,01/01/2023,Hell's Kitchen,Barista Espresso,1,3.75
370,01/01/2023,Hell's Kitchen,Barista Espresso,1,4.25
371,01/01/2023,Astoria,Premium brewed coffee,2,4.9
372,01/01/2023,Hell's Kitchen,Brewed Green tea,1,2.5
373,01/01/2023,Astoria,Brewed herbal tea,2,5
374,01/01/2023,Astoria,Drip coffee,2,5
375,01/01/2023,Astoria,Drip coffee,2,5
376,01/01/2023,Astoria,Brewed herbal tea,2,5
377,01/01/2023,Astoria,Brewed herbal tea,2,5
378,01/01/2023,Hell's Kitchen,Barista Espresso,1,3
379,01/01/2023,Astoria,Premium brewed coffee,2,4.9
380,01/01/2023,Astoria,Gourmet brewed coffee,2,5
381,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,5
382,01/01/2023,Astoria,Brewed Chai tea,1,2.55
383,01/01/2023,Lower Manhattan,Barista Espresso,2,7.5
384,01/01/2023,Astoria,Premium brewed coffee,2,7.5
385,01/01/2023,Lower Manhattan,Drip coffee,1,2
386,01/01/2023,Astoria,Drip coffee,1,2
387,01/01/2023,Astoria,Brewed herbal tea,1,2.5
388,01/01/2023,Lower Manhattan,Brewed Chai tea,1,2.55
389,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,6
390,01/01/2023,Lower Manhattan,Brewed herbal tea,1,2.5
391,01/01/2023,Astoria,Organic brewed coffee,2,7
392,01/01/2023,Astoria,Barista Espresso,1,3.75
393,01/01/2023,Astoria,Premium brewed coffee,1,3.1
394,01/01/2023,Lower Manhattan,Gourmet brewed coffee,1,2
395,01/01/2023,Astoria,Premium brewed coffee,1,3.75
396,01/01/2023,Hell's Kitchen,Hot chocolate,1,3.5
397,01/01/2023,Astoria,Gourmet brewed coffee,1,3.5
398,01/01/2023,Lower Manhattan,Brewed Green tea,1,2.5
399,01/01/2023,Lower Manhattan,Drip coffee,1,2.5
400,01/01/2023,Hell's Kitchen,Brewed Black tea,2,5
401,01/01/2023,Astoria,Brewed Chai tea,2,5
402,01/01/2023,Lower Manhattan,Brewed herbal tea,1,2.5
403,01/01/2023,Lower Manhattan,Scone,1,3.25
404,01/01/2023,Lower Manhattan,Brewed herbal tea,2,5
405,01/01/2023,Lower Manhattan,Brewed Chai tea,1,3
406,01/01/2023,Lower Manhattan,Pastry,1,3.75
407,01/01/2023,Astoria,Brewed Chai tea,1,2.5
408,01/01/2023,Hell's Kitchen,Brewed herbal tea,2,5
409,01/01/2023,Lower Manhattan,Brewed Black tea,1,2.5
410,01/01/2023,Astoria,Gourmet brewed coffee,1,2
411,01/01/2023,Astoria,Hot chocolate,1,3.5
412,01/01/2023,Astoria,Biscotti,1,3.25
413,01/01/2023,Lower Manhattan,Premium brewed coffee,2,7.5
414,01/01/2023,Hell's Kitchen,Brewed Black tea,2,5
415,01/01/2023,Astoria,Brewed Black tea,1,2.5
416,01/01/2023,Astoria,Premium brewed coffee,2,7.5
417,01/01/2023,Hell's Kitchen,Brewed Green tea,2,6
418,01/01/2023,Astoria,Organic brewed coffee,1,3.5
419,01/01/2023,Astoria,Hot chocolate,1,4.5
420,01/01/2023,Hell's Kitchen,Premium brewed coffee,2,7.5
421,01/01/2023,Lower Manhattan,Gourmet brewed coffee,2,4.4
422,01/01/2023,Hell's Kitchen,Premium brewed coffee,1,3.1
423,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,8
424,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,1,2.2
425,01/01/2023,Astoria,Gourmet brewed coffee,1,2.5
426,01/01/2023,Lower Manhattan,Premium brewed coffee,2,4.9
427,01/01/2023,Lower Manhattan,Pastry,1,3.5
428,01/01/2023,Hell's Kitchen,Barista Espresso,2,8.5
429,01/01/2023,Hell's Kitchen,Gourmet brewed coffee,2,4
430,01/01/2023,Hell's Kitchen,Barista Espresso,2,6
431,01/01/2023,Hell's Kitchen,Scone,1,4.5
432,01/01/2023,Hell's Kitchen,Brewed Green tea,2,5
433,01/01/2023,Hell's Kitchen,Scone,1,3
434,01/01/2023,Astoria,Premium brewed coffee,1,3.75
435,01/01/2023,Lower Manhattan,Brewed Black tea,1,2.5
436,01/01/2023,Astoria,Barista Espresso,1,4.25
437,01/01/2023,Astoria,Hot chocolate,2,7
438,01/01/2023,Hell's Kitchen,Premium brewed coffee,1,3.1
439,01/01/2023,Hell's Kitchen,Biscotti,1,3.5
440,01/01/2023,Lower Manhattan,Barista Espresso,1,3
441,01/01/2023,Lower Manhattan,Scone,1,3.25
442,01/01/2023,Astoria,Brewed Green tea,1,2.5
443,01/01/2023,Astoria,Pastry,1,3.5
444,01/01/2023,Hell's Kitchen,Brewed Chai tea,2,5
445,01/01/2023,Astoria,Brewed Green tea,1,3
446,01/01/2023,Astoria,Biscotti,1,3.25
447,01/01/2023,Hell's Kitchen,Brewed herbal tea,1,2.5
448,01/01/2023,Astoria,Brewed Chai tea,1,4
449,01/01/2023,Astoria,Brewed Chai tea,2,8
450,01/01/2023,Astoria,Pastry,1,3.75
